filename,r_peaks_seconds
records500/00000/00243_hr,"0.74,1.43,2.18,2.99,3.77,4.57,5.36,6.12,6.91,7.74,8.59"
records500/00000/00245_hr,"0.78,1.4,2.02,2.66,3.3,3.98,4.61,5.24,5.86,6.48,7.08,7.69,8.29,8.93"
records500/00000/00252_hr,"1.03,1.81,2.58,3.4,4.23,5.05,5.87,6.62,7.41,8.19,8.97"
records500/00000/00271_hr,"0.84,1.48,2.15,2.61,3.03,3.84,4.54,5.21,5.87,6.52,7.18,7.84,8.48,9.12"
records500/00000/00274_hr,"0.94,1.81,2.72,3.63,4.54,5.41,6.27,7.14,8.05,8.97"
records500/00000/00299_hr,"1.22,2.04,2.87,3.7,4.52,5.35,6.17,6.99,7.82,8.64"
records500/00000/00318_hr,"1.05,1.71,2.5,3.27,3.86,4.48,5.13,5.67,6.29,7.05,7.73,8.34,8.87"
records500/00000/00334_hr,"1.38,2.4,3.42,4.47,5.51,6.53,7.54,8.53"
records500/00000/00336_hr,"0.82,1.22,1.62,2.01,2.4,2.79,3.12,3.58,3.98,4.38,4.77,5.16,5.56,5.95,6.34,6.74,7.14,7.53,7.92,8.31,8.71,9.11"
records500/00000/00347_hr,"0.8,1.45,2.11,2.77,3.42,4.08,4.74,5.39,6.05,6.71,7.37,8.02,8.68,9.33"
records500/00000/00361_hr,"0.9,1.59,2.28,2.96,3.63,4.31,4.99,5.66,6.34,7.0,7.67,8.35,9.03"
records500/00000/00364_hr,"1.19,2.19,3.15,4.3,5.47,6.58,7.58,8.65"
records500/00000/00377_hr,"1.22,1.82,2.42,3.04,3.67,4.29,4.91,5.53,6.13,6.73,7.34,7.97,8.6,9.23"
records500/00000/00378_hr,"0.88,1.71,2.54,3.32,4.04,4.81,6.07,7.15,8.09,8.91"
records500/00000/00382_hr,"1.12,1.77,2.39,2.97,3.71,4.51,5.2,5.89,6.7,7.61,8.29,9.16"
records500/00000/00388_hr,"0.85,1.59,2.31,3.03,3.75,4.49,5.25,6.02,6.78,7.52,8.23,8.94"
records500/00000/00397_hr,"1.3,2.16,3.07,3.99,4.82,5.74,6.64,7.46,8.42"
records500/00000/00400_hr,"0.92,1.66,2.53,3.44,4.34,5.2,6.06,6.91,7.76,8.61"
records500/00000/00405_hr,"1.08,1.98,2.89,3.8,4.71,5.63,6.56,7.47,8.35,9.22"
records500/00000/00417_hr,"1.19,2.28,3.37,4.46,5.53,6.61,7.69,8.79,9.09"
records500/00000/00427_hr,"0.86,1.48,2.35,3.12,3.88,4.49,5.38,6.12,6.76,7.62,8.28,9.15"
records500/00000/00430_hr,"1.44,2.53,3.62,4.69,5.75,6.86,7.96,9.01"
records500/00000/00440_hr,"1.34,2.15,2.87,3.73,4.47,5.22,5.92,6.65,7.38,8.15,8.86"
records500/00000/00448_hr,"0.65,1.65,2.55,3.45,4.35,5.24,6.12,7.02,7.91,8.81"
records500/00000/00449_hr,"0.99,1.33,1.69,2.04,2.41,2.77,3.13,3.48,3.84,4.16,4.48,4.82,5.15,5.49,5.83,6.18,6.53,6.89,7.21,7.53,7.85,8.19,8.54,8.89,9.24"
records500/00000/00452_hr,"1.28,2.11,2.83,3.27,4.23,4.95,5.61,6.45,7.38,8.16,9.02"
records500/00000/00472_hr,"0.83,1.73,2.62,3.49,4.36,5.24,6.14,7.02,7.89,8.76"
records500/00000/00473_hr,"1.05,2.14,3.24,4.33,5.43,6.52,7.61,8.7"
records500/00000/00478_hr,"0.94,1.86,2.74,3.71,4.75,5.8,6.83,7.74,8.57"
records500/00000/00499_hr,"1.56,2.7,3.85,5.01,6.14,7.29,8.41"
records500/00000/00504_hr,"0.86,1.67,2.54,3.47,4.29,5.19,6.06,6.89,7.75,8.64"
records500/00000/00512_hr,"1.22,2.59,3.95,5.32,6.68,8.05,8.42"
records500/00000/00514_hr,"0.89,1.68,2.49,3.28,4.05,4.84,5.64,6.45,7.26,8.03,8.82"
records500/00000/00516_hr,"1.18,1.88,2.58,3.27,3.95,4.61,5.27,5.92,6.57,7.23,7.89,8.54,9.19"
records500/00000/00526_hr,"1.25,2.24,3.23,4.21,5.2,6.2,7.19,8.17,9.16"
records500/00000/00527_hr,"0.8,1.63,2.45,3.27,4.1,4.93,5.75,6.59,7.43,8.25,9.08"
records500/00000/00534_hr,"1.75,3.15,4.37,5.43,6.56,7.67,8.81"
records500/00000/00559_hr,"1.48,2.56,3.64,4.72,5.76,6.79,7.81,8.83"
records500/00000/00564_hr,"0.65,1.44,2.21,3.0,3.79,4.57,5.36,6.17,6.95,7.75,8.55,9.32"
records500/00000/00569_hr,"0.66,1.13,1.77,2.48,3.14,3.65,4.21,4.7,5.34,5.83,6.41,6.9,7.54,8.27,8.82"
records500/00000/00570_hr,"0.69,1.67,2.75,3.86,4.97,6.05,7.17,8.26"
records500/00000/00573_hr,"0.87,1.57,2.29,2.67,3.0,3.75,4.34,4.72,5.18,5.9,6.24,7.38,8.42,8.75"
records500/00000/00581_hr,"1.01,2.46,3.54,4.91,6.1,6.41,7.88,8.69"
records500/00000/00582_hr,"0.7,1.71,2.73,3.74,4.73,5.68,6.61,7.55,8.52"
records500/00000/00584_hr,"0.67,1.41,2.17,2.93,3.7,4.45,5.17,5.86,6.54,7.25,8.0,8.75"
records500/00000/00598_hr,"0.89,1.73,2.41,3.35,4.6,5.49,6.43,7.13,7.93,8.63"
records500/00000/00611_hr,"2.02,3.5,4.96,6.41,7.88,9.29"
records500/00000/00618_hr,"0.97,1.8,2.63,2.94,3.49,4.37,5.24,6.1,6.98,7.85,8.71"
records500/00000/00619_hr,"0.81,1.63,2.39,3.23,4.16,5.01,5.81,6.61,7.42,8.2,8.99"
records500/00000/00658_hr,"0.71,1.92,3.2,4.46,5.71,6.96,8.16"
records500/00000/00685_hr,"1.26,2.04,2.81,3.58,4.34,5.11,5.9,6.7,7.47,8.24,9.01"
records500/00000/00687_hr,"0.72,1.48,2.1,2.96,3.7,4.44,5.17,5.91,6.64,7.18,8.07,8.82"
records500/00000/00688_hr,"0.92,1.79,2.67,3.57,4.48,5.38,6.26,7.12,7.98,8.85"
records500/00000/00694_hr,"1.32,2.18,3.05,3.92,4.77,5.59,6.36,7.11,7.93,8.75"
records500/00000/00696_hr,"0.93,1.81,2.69,3.57,4.41,5.28,6.16,7.05,7.94,8.84"
records500/00000/00707_hr,"1.28,2.31,3.29,4.31,5.33,6.35,7.35,8.32,9.29"
records500/00000/00723_hr,"1.36,2.17,2.99,3.79,4.6,5.41,6.22,7.03,7.84,8.66"
records500/00000/00726_hr,"0.84,1.34,2.06,2.79,3.55,4.31,5.08,5.84,6.58,7.32,8.04,8.79"
records500/00000/00732_hr,"1.13,1.94,2.76,3.59,4.4,5.22,6.04,6.88,7.72,8.56"
records500/00000/00751_hr,"1.0,1.97,2.95,3.93,4.91,5.88,6.84,7.81,8.79"
records500/00000/00756_hr,"0.68,1.56,2.3,3.29,4.18,4.92,5.91,6.77,7.52,8.52"
records500/00000/00758_hr,"1.68,2.84,3.99,5.15,6.3,7.43,8.51"
records500/00000/00764_hr,"1.0,1.9,2.78,3.67,4.58,5.48,6.38,7.28,8.2,9.12"
records500/00000/00765_hr,"0.72,1.87,3.06,4.23,5.42,6.67,7.88,9.09"
records500/00000/00775_hr,"1.26,2.37,3.41,4.47,5.56,6.66,7.8,8.95"
records500/00000/00779_hr,"1.3,2.36,3.41,4.45,5.47,6.48,7.47,8.47"
records500/00000/00789_hr,"0.81,1.48,2.15,2.82,3.5,4.17,4.84,5.5,6.17,6.83,7.5,8.16,8.82"
records500/00000/00795_hr,"1.42,2.22,3.03,3.83,4.64,5.45,6.26,7.07,7.87,8.67"
records500/00000/00799_hr,"0.78,1.59,2.4,3.22,4.05,4.87,5.7,6.53,7.38,8.24,9.09"
records500/00000/00805_hr,"1.22,2.05,2.86,3.69,4.54,5.4,6.25,7.1,7.97,8.83"
records500/00000/00806_hr,"1.34,2.16,3.03,3.89,4.8,5.74,6.63,7.53,8.41,9.25"
records500/00000/00821_hr,"0.75,1.5,2.27,3.04,3.81,4.58,5.37,6.15,6.92,7.7,8.48,9.26"
records500/00000/00848_hr,"0.87,1.53,1.86,2.53,2.87,3.56,3.89,4.58,4.9,5.57,5.9,6.55,6.88,7.55,8.58,8.91"
records500/00000/00854_hr,"0.9,1.81,2.74,3.67,4.59,5.49,6.39,7.27,8.13,8.99"
records500/00000/00861_hr,"1.03,1.97,2.64,3.75,4.68,5.36,6.49,7.41,8.13,9.23"
records500/00000/00886_hr,"0.98,1.67,2.4,3.11,3.82,4.52,5.26,5.98,6.7,7.41,8.13,8.86"
records500/00000/00892_hr,"0.72,1.37,1.92,2.47,3.02,3.58,4.13,4.69,5.26,5.83,6.41,6.99,7.57,8.16,8.74,9.33"
records500/00000/00911_hr,"1.58,2.48,3.38,4.29,5.23,6.16,7.04,7.89,8.76"
records500/00000/00917_hr,"1.17,1.88,2.6,3.33,4.06,4.78,5.5,6.24,6.98,7.7,8.44,9.18"
records500/00000/00928_hr,"0.77,1.51,2.24,2.99,3.74,4.48,5.22,5.96,6.71,7.47,8.24,9.01"
records500/00000/00931_hr,"1.12,2.07,3.03,4.02,5.01,5.97,6.97,8.01,9.08"
records500/00000/00935_hr,"0.79,1.75,2.73,3.71,4.63,5.51,6.4,7.31,8.24,9.17"
records500/00000/00943_hr,"0.93,1.42,2.06,2.55,3.06,3.55,3.91,4.41,5.04,5.54,6.03,6.52,7.01,7.37,7.86,8.34,8.97"
records500/00000/00947_hr,"1.0,1.82,2.63,3.33,4.25,4.93,5.75,6.57,7.53,8.25,9.22"
records500/00000/00949_hr,"1.04,1.98,2.91,3.85,4.79,5.72,6.64,7.56,8.5"
records500/00000/00950_hr,"1.27,2.09,2.93,3.79,4.64,5.49,6.37,7.23,8.09,8.97"
records500/00000/00952_hr,"1.17,1.95,2.72,3.49,4.25,5.02,5.78,6.54,7.3,8.06,8.81"
records500/00000/00958_hr,"1.32,2.17,3.0,3.83,4.72,5.65,6.54,7.43,8.35,9.26"
records500/00000/00959_hr,"1.0,1.31,2.19,2.8,3.35,3.96,4.28,5.15,5.78,6.33,6.93,7.28,8.13,8.77,9.31"
records500/00000/00963_hr,"0.68,1.14,1.58,2.16,2.66,3.09,3.48,3.94,4.47,4.9,5.46,5.9,6.33,6.73,7.18,7.83,8.3,8.88"
records500/00000/00968_hr,"1.27,2.11,2.99,3.86,4.75,5.65,6.56,7.46,8.37,9.28"
records500/00000/00975_hr,"0.95,1.83,2.74,3.63,4.19,5.42,6.28,7.14,7.98,8.82"
records500/01000/01009_hr,"0.88,1.77,2.68,3.6,4.52,5.41,6.28,7.14,8.02,8.9"
records500/01000/01013_hr,"0.66,1.55,2.42,3.31,4.2,5.07,5.95,6.84,7.72,8.59"
records500/01000/01014_hr,"0.66,1.27,1.85,2.42,3.0,3.57,4.14,4.71,5.29,6.41,7.03,7.61,8.19,8.77,9.34"
records500/01000/01016_hr,"1.43,2.45,3.48,4.48,5.5,6.54,7.6,8.64"
records500/01000/01031_hr,"0.9,1.73,2.56,3.39,4.22,5.08,5.94,6.8,7.65,8.48,9.3"
records500/01000/01051_hr,"1.39,2.28,3.18,4.08,4.96,5.84,6.73,7.61,8.49"
records500/01000/01054_hr,"1.51,2.62,3.69,4.76,5.85,6.87,7.8,8.78"
records500/01000/01056_hr,"0.78,1.43,2.28,3.34,4.19,5.05,5.91,6.57,7.66,8.31,9.21"
records500/01000/01061_hr,"1.41,2.36,3.31,4.3,5.26,6.28,7.65,8.83"
records500/01000/01068_hr,"1.17,1.83,2.47,2.9,3.3,4.12,4.93,5.69,6.46,7.22,7.96,8.68"
records500/01000/01078_hr,"0.91,1.62,2.33,3.04,3.76,4.48,5.2,5.93,6.66,7.38,8.1,8.81"
records500/01000/01084_hr,"1.23,1.98,2.72,3.46,4.2,4.94,5.44,6.42,7.14,7.85,8.33,9.11"
records500/01000/01093_hr,"1.12,2.0,2.88,3.76,4.64,5.52,6.4,7.28,8.16,9.04"
records500/01000/01094_hr,"0.84,1.95,3.13,4.31,5.39,6.56,7.7,8.86"
records500/01000/01100_hr,"1.21,1.91,2.62,3.32,4.02,4.73,5.45,6.17,6.88,7.59,8.3,9.0"
records500/01000/01101_hr,"1.09,1.89,2.71,3.54,4.37,5.15,5.96,6.78,7.59,8.38,9.17"
records500/01000/01113_hr,"1.09,2.01,2.93,3.84,4.74,5.61,6.47,7.33,8.2,9.08"
records500/01000/01120_hr,"1.09,2.15,3.2,4.25,5.31,6.36,7.41,8.45"
records500/01000/01133_hr,"1.15,1.83,2.51,3.19,3.86,4.53,5.2,5.86,6.51,7.16,7.81,8.45,9.09"
records500/01000/01147_hr,"1.48,2.45,3.41,4.36,5.3,6.25,7.21,8.18,9.14"
records500/01000/01157_hr,"0.8,2.34,2.97,3.6,4.24,4.87,5.49,6.12,6.75,7.38,8.01,8.63,9.26"
records500/01000/01158_hr,"0.65,1.23,1.8,2.26,2.92,3.51,4.08,4.65,5.2,5.8,6.38,6.95,7.39,8.08,8.67,9.24"
records500/01000/01166_hr,"2.01,3.36,4.83,6.1,6.41,7.67,8.99"
records500/01000/01169_hr,"1.09,1.92,2.76,3.6,4.45,5.29,6.13,6.97,7.8,8.6"
records500/01000/01172_hr,"0.7,1.55,2.36,3.18,4.03,4.89,5.73,6.56,7.41,8.27,9.14"
records500/01000/01175_hr,"1.46,2.32,3.2,4.1,5.04,5.92,6.77,7.61,8.47,9.34"
records500/01000/01186_hr,"1.63,2.8,3.99,5.17,6.28,7.44,8.67"
records500/01000/01197_hr,"1.03,1.68,2.35,3.16,4.04,4.92,5.76,6.55,7.29,8.02,8.78"
records500/01000/01200_hr,"0.77,1.96,3.18,4.35,5.34,6.73,7.89,9.09"
records500/01000/01219_hr,"0.69,1.16,1.64,2.11,2.57,3.04,3.51,3.98,4.45,4.91,5.38,5.84,6.31,6.78,7.25,7.72,8.19,8.66,9.14"
records500/01000/01220_hr,"0.77,1.75,2.73,3.72,4.69,5.65,6.6,7.59,8.55"
records500/01000/01246_hr,"1.63,2.81,3.96,5.03,6.17,7.25,8.33"
records500/01000/01251_hr,"1.35,2.23,3.11,4.0,4.89,5.78,6.67,7.56,8.45,9.33"
records500/01000/01266_hr,"1.04,1.96,2.91,3.89,4.87,5.82,6.74,7.64,8.52"
records500/01000/01268_hr,"1.2,2.01,2.84,3.64,4.47,5.3,6.12,6.92,7.75,8.61"
records500/01000/01275_hr,"0.84,1.74,2.8,3.22,4.28,5.3,6.05,6.45,7.66,8.25,8.87"
records500/01000/01280_hr,"1.19,1.9,2.55,3.21,3.88,4.57,5.23,5.91,6.6,7.33,8.0,8.66,9.34"
records500/01000/01282_hr,"1.04,1.8,2.59,3.34,4.05,4.67,5.23,5.79,6.37,7.03,7.78,8.55,9.32"
records500/01000/01287_hr,"0.87,1.72,2.57,3.43,4.29,5.15,6.01,6.86,7.72,8.56"
records500/01000/01307_hr,"0.8,1.7,2.56,3.43,4.31,5.17,5.98,6.81,7.67,8.56"
records500/01000/01311_hr,"1.11,1.96,2.75,3.57,4.47,5.41,6.3,7.17,8.01,8.82"
records500/01000/01315_hr,"1.53,2.36,3.2,4.02,4.77,5.52,6.35,7.1,7.92,8.76"
records500/01000/01320_hr,"0.96,1.94,2.93,3.91,4.87,5.84,6.81,7.8,8.81"
records500/01000/01343_hr,"0.97,1.76,2.56,3.34,4.1,4.83,5.55,6.29,7.1,7.92,8.75"
records500/01000/01351_hr,"0.94,2.04,3.14,4.27,5.37,6.46,7.57,8.68"
records500/01000/01353_hr,"0.86,1.85,2.85,3.88,4.89,5.9,6.89,7.91,8.93"
records500/01000/01355_hr,"1.07,1.92,2.77,3.62,4.47,5.32,6.12,6.99,7.84,8.69"
records500/01000/01377_hr,"1.02,1.99,2.95,3.9,4.88,5.87,6.85,7.83,8.84"
records500/01000/01386_hr,"1.04,1.98,2.91,3.84,4.79,5.75,6.71,7.67,8.59"
records500/01000/01391_hr,"0.97,1.71,2.44,3.23,3.99,4.76,5.52,6.28,7.06,7.81,8.6,9.27"
records500/01000/01394_hr,"1.04,1.75,2.46,3.16,3.86,4.55,5.25,5.96,6.67,7.38,8.09,8.79"
records500/01000/01405_hr,"0.8,1.56,2.33,3.12,3.9,4.68,5.46,6.25,7.07,7.83,8.52"
records500/01000/01416_hr,"1.26,1.84,2.66,3.33,4.02,4.74,5.47,6.2,6.96,7.55,8.52,9.1"
records500/01000/01424_hr,"1.17,2.14,3.09,4.06,4.99,5.95,6.91,7.86,8.79"
records500/01000/01426_hr,"0.93,1.31,2.36,3.04,3.41,4.49,5.19,5.92,6.31,7.38,8.09,8.84"
records500/01000/01429_hr,"1.14,2.04,2.94,3.83,4.72,5.62,6.51,7.41,8.3,9.21"
records500/01000/01447_hr,"0.97,1.93,2.89,3.69,4.63,5.49,6.36,7.22,7.52,7.93,8.64"
records500/01000/01456_hr,"0.67,1.09,1.41,1.98,2.4,2.79,3.31,3.75,4.18,4.57,5.04,5.51,5.96,6.57,7.0,7.43,7.82,8.22,8.8,9.24"
records500/01000/01458_hr,"1.37,2.26,3.33,4.13,4.95,6.06,7.06,7.88,8.81"
records500/01000/01468_hr,"1.19,1.95,2.72,3.52,4.3,5.05,5.84,6.66,7.46,8.24,9.01"
records500/01000/01479_hr,"1.06,2.01,2.99,3.95,4.95,5.92,6.85,7.78,8.75"
records500/01000/01480_hr,"1.44,2.26,3.07,3.9,4.72,5.55,6.35,7.15,7.96,8.78"
records500/01000/01487_hr,"1.39,2.27,3.17,4.07,4.97,5.83,6.63,7.44,8.31,9.22"
records500/01000/01491_hr,"1.21,2.04,2.88,3.73,4.59,5.44,6.27,7.13,7.99,8.85"
records500/01000/01494_hr,"1.5,2.71,3.91,5.05,6.19,7.32,8.44"
records500/01000/01498_hr,"1.61,2.64,3.67,4.67,5.67,6.63,7.6,8.55"
records500/01000/01522_hr,"0.97,2.11,3.23,4.36,5.47,6.58,7.68,8.77"
records500/01000/01534_hr,"1.55,2.41,3.24,4.12,5.02,5.91,6.74,7.61,8.47,9.31"
records500/01000/01556_hr,"1.01,1.38,1.88,2.19,2.49,2.98,3.47,3.96,4.46,4.95,5.44,5.93,6.42,6.91,7.29,7.78,8.27,8.88"
records500/01000/01564_hr,"1.2,2.35,3.2,4.56,5.83,7.01,8.1,9.23"
records500/01000/01571_hr,"1.23,2.06,2.89,3.73,4.57,5.41,6.26,7.09,7.91,8.8"
records500/01000/01589_hr,"1.04,1.98,2.94,3.92,4.91,5.88,6.86,7.85,8.83"
records500/01000/01617_hr,"1.46,2.39,3.34,4.33,5.34,6.34,7.36,8.37"
records500/01000/01618_hr,"1.32,2.17,2.98,3.76,4.51,5.3,6.12,6.95,7.78,8.57,9.33"
records500/01000/01624_hr,"1.54,2.06,2.96,3.71,4.49,5.31,6.35,6.83,7.78,8.3,8.79"
records500/01000/01630_hr,"0.69,1.43,2.17,2.95,3.75,4.56,5.37,6.15,6.94,7.75,8.57"
records500/01000/01632_hr,"1.16,2.09,3.09,4.08,5.03,6.03,7.04,8.03,8.99"
records500/01000/01639_hr,"0.81,2.02,3.21,4.37,5.47,6.52,7.53,8.75"
records500/01000/01655_hr,"0.69,1.6,2.5,3.43,4.37,5.31,6.25,7.19,8.12,9.04"
records500/01000/01697_hr,"0.91,1.79,2.64,3.51,4.37,5.22,6.09,6.94,7.81,8.68"
records500/01000/01700_hr,"0.92,1.93,2.93,3.92,4.93,5.96,7.0,8.04,9.08"
records500/01000/01705_hr,"0.82,1.71,2.64,3.62,4.61,5.5,6.37,7.22,8.02,8.85"
records500/01000/01708_hr,"0.93,1.77,2.63,3.47,4.28,5.08,5.88,6.7,7.49,8.27,9.07"
records500/01000/01717_hr,"1.12,2.2,3.25,4.77,6.16,7.31,8.37"
records500/01000/01736_hr,"1.65,2.32,3.5,4.55,5.21,6.41,7.48,8.14"
records500/01000/01737_hr,"1.43,2.34,3.25,4.14,5.07,6.0,6.9,7.78,8.68"
records500/01000/01741_hr,"1.14,1.99,2.87,3.79,4.71,5.59,6.47,7.36,8.27,9.15"
records500/01000/01745_hr,"1.29,2.27,3.19,4.04,4.94,5.9,6.88,7.85,8.72"
records500/01000/01746_hr,"1.61,2.6,3.51,4.46,5.5,6.94,8.17"
records500/01000/01747_hr,"1.04,1.74,2.6,3.31,4.2,4.91,5.79,6.51,7.39,8.09,8.95"
records500/01000/01753_hr,"1.35,2.43,3.52,4.6,5.68,6.73,7.79,8.84"
records500/01000/01757_hr,"0.83,1.77,2.07,2.72,3.71,4.7,5.66,6.59,7.57,7.87,8.56"
records500/01000/01769_hr,"0.93,1.71,2.5,3.29,4.1,4.89,5.66,6.45,7.23,8.01,8.79"
records500/01000/01775_hr,"1.45,2.3,3.17,4.04,4.9,5.76,6.62,7.47,8.31,9.16"
records500/01000/01780_hr,"0.98,1.95,2.97,3.98,5.0,6.0,6.98,7.95,8.96"
records500/01000/01785_hr,"1.27,1.91,2.54,3.18,3.81,4.44,5.08,5.71,6.34,6.97,7.6,8.22,8.85"
records500/01000/01790_hr,"0.78,1.52,2.25,2.97,3.69,4.41,5.13,5.86,6.59,7.31,8.04,8.76"
records500/01000/01792_hr,"1.07,1.8,2.5,3.23,3.97,4.71,5.44,6.16,6.89,7.62,8.36,9.08"
records500/01000/01812_hr,"1.16,2.12,3.09,4.04,5.0,5.95,6.91,7.86,8.81"
records500/01000/01825_hr,"0.88,1.82,2.73,3.65,4.59,5.5,6.42,7.36,8.31,9.24"
records500/01000/01835_hr,"1.39,2.31,3.25,4.24,5.24,6.17,7.12,8.09,9.05"
records500/01000/01838_hr,"0.93,2.18,3.4,4.57,5.78,7.01,8.2"
records500/01000/01843_hr,"1.84,3.43,4.35,5.13,5.88,6.64,7.41,8.17,8.95"
records500/01000/01850_hr,"0.9,1.53,2.16,2.79,3.42,4.05,4.68,5.31,5.94,6.56,7.19,7.83,8.47,9.12"
records500/01000/01853_hr,"1.22,2.05,2.9,3.79,4.69,5.54,6.41,7.22,8.04,8.72"
records500/01000/01857_hr,"0.68,1.66,2.61,3.53,4.5,5.47,6.44,7.4,8.33,9.25"
records500/01000/01860_hr,"1.18,1.97,2.77,3.58,4.42,5.24,6.04,6.88,7.77,8.68"
records500/01000/01864_hr,"0.65,1.24,2.02,2.62,3.37,4.05,4.74,5.42,6.12,6.66,7.19,8.15,8.85"
records500/01000/01867_hr,"1.78,2.9,3.97,5.07,6.18,7.32,8.45"
records500/01000/01870_hr,"1.4,2.18,2.98,3.77,4.58,5.4,6.22,7.06,7.89,8.7"
records500/01000/01885_hr,"1.21,2.0,2.81,3.81,4.72,5.55,6.4,7.28,8.11,9.02"
records500/01000/01899_hr,"0.83,1.7,2.58,3.43,4.29,5.2,6.18,7.17,8.14,9.07"
records500/01000/01901_hr,"1.17,2.16,3.13,4.09,5.02,5.88,6.74,7.6,8.52"
records500/01000/01920_hr,"0.68,1.37,2.05,2.75,3.44,4.15,4.86,5.57,6.28,6.99,7.7,8.41,9.13"
records500/01000/01933_hr,"0.99,1.67,2.36,3.03,3.7,4.35,5.03,5.72,6.39,7.04,7.68,8.32,8.97"
records500/01000/01938_hr,"0.76,1.48,2.18,2.89,3.6,4.36,5.11,5.85,6.58,7.3,8.06,8.83"
records500/01000/01940_hr,"1.47,2.47,3.45,4.45,5.42,6.39,7.39,8.36,9.33"
records500/01000/01944_hr,"0.82,1.43,2.03,2.65,3.26,3.87,4.47,5.08,5.69,6.3,6.91,7.52,8.13,8.73"
records500/01000/01946_hr,"0.65,1.52,2.36,3.18,4.05,5.0,5.94,6.85,7.72,8.61"
records500/01000/01950_hr,"0.8,1.49,2.18,2.88,3.59,4.31,5.02,5.73,6.42,7.1,7.8,8.49,9.19"
records500/01000/01958_hr,"0.74,1.44,2.14,2.84,3.54,4.25,4.99,5.7,6.41,7.12,7.83,8.54,9.24"
